time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt203,pt204,ptf401
0.00115740,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,232.91015625,2.92968750
0.00208025,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,226.80664062,3.17382812
0.00307841,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.66210937,222.16796875,3.17382812
0.00405648,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,216.79687500,3.17382812
0.00507358,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,211.18164062,3.41796875
0.00606690,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,206.78710937,3.66210937
0.00707699,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.90625000,201.90429687,3.17382812
0.00807722,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.68554687,197.99804687,3.41796875
0.00907751,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.68554687,194.09179687,3.41796875
0.01007435,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,189.94140625,3.41796875
0.01107881,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,186.76757812,3.66210937
0.01205139,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,183.83789062,3.17382812
0.01305998,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,180.90820312,2.92968750
0.01408583,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,178.22265625,3.66210937
0.01551818,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,175.53710937,3.17382812
0.01608685,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,175.04882812,2.68554687
0.01709497,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,173.82812500,3.41796875
0.01806744,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.44140625,173.33984375,3.90625000
0.01907406,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,172.36328125,3.41796875
0.02007830,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,171.63085937,4.15039062
0.02106489,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.90625000,172.11914062,2.68554687
0.02207237,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,171.63085937,3.41796875
0.02307063,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,172.60742187,2.68554687
0.02406929,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,173.58398437,3.41796875
0.02507950,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,174.56054687,3.66210937
0.02607204,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.41796875,176.75781250,2.68554687
0.02707549,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.68554687,178.71093750,3.41796875
0.02806470,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,180.66406250,3.41796875
0.02906947,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,4.15039062,183.34960937,3.17382812
0.03009524,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,186.76757812,3.17382812
0.03108155,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.68554687,189.69726562,3.66210937
0.03207140,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.17382812,193.60351562,3.17382812
0.03305310,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.68554687,196.77734375,3.66210937
0.03404532,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,200.68359375,3.66210937
0.03508219,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.66210937,205.81054687,3.41796875
0.03607001,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,210.20507812,3.41796875
0.03706282,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,215.08789062,2.68554687
0.03806673,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.66210937,220.70312500,3.90625000
0.03906385,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,226.07421875,3.90625000
0.04005490,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,2.92968750,231.20117187,3.17382812
0.04106839,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.90625000,237.79296875,2.92968750
0.04207232,0,0.00000000,0.00000000,0.00000000,0.00000000,51181536218,3.66210937,243.65234375,2.92968750
