time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt202,pt203,ptf401
0.00113180,0,0.18000001,0.00000000,12.00000095,12000.00000000,958663646422,52.97851562,646.48437500,1233.88671875
0.00202957,0,0.27000001,0.01125000,24.00000191,12000.00000000,485088,44.92187500,641.35742187,1224.12109375
0.00303534,0,0.36000001,0.02250000,36.00000381,12000.00097656,258582,52.97851562,646.48437500,1234.37500000
0.00405763,0,0.44999999,0.04500000,48.00000381,11999.99902344,193680,52.97851562,646.48437500,1233.88671875
0.00503654,0,0.54000002,0.07875000,60.00000381,11999.99902344,127012,44.67773437,641.11328125,1224.12109375
0.00602770,0,0.63000000,0.11250000,72.00000763,12000.00292969,119385,44.67773437,641.11328125,1224.12109375
0.00705464,0,0.72000003,0.14624999,84.00000763,11999.99902344,109080,52.97851562,646.48437500,1233.88671875
0.00803217,0,0.80999994,0.19125000,96.00000763,11999.99902344,84085,53.22265625,646.48437500,1233.88671875
0.00903547,0,0.89999998,0.24749999,108.00000763,11999.99902344,84083,44.67773437,641.35742187,1224.60937500
0.01005317,0,0.99000001,0.30374998,120.00000763,11999.99902344,78993,44.67773437,641.11328125,1223.63281250
0.01102670,0,1.08000004,0.35999998,132.00001526,12000.00683594,88837,44.92187500,641.35742187,1224.12109375
0.01205219,0,1.17000008,0.42749998,144.00001526,11999.99902344,65420,44.92187500,641.35742187,1224.12109375
0.01305082,0,1.25999999,0.48374999,156.00001526,11999.99902344,95823,52.97851562,646.48437500,1233.88671875
0.01408522,0,1.35000002,0.55124998,168.00001526,11999.99902344,133613,52.73437500,646.48437500,1233.39843750
0.01571649,0,1.44000006,0.79874998,180.00001526,11999.99902344,35080,48.09570312,643.55468750,1228.51562500
0.01618611,0,1.53000009,0.80999994,192.00001526,11999.99902344,31967,44.92187500,641.11328125,1224.60937500
0.01708622,0,1.61999989,0.86624998,204.00001526,11999.99902344,29722,52.97851562,646.48437500,1233.88671875
0.01805112,0,1.70999992,0.95624995,216.00001526,11999.99902344,27942,52.73437500,646.48437500,1233.88671875
0.01902918,0,1.79999995,1.05750000,225.00000000,8999.98437500,67873,44.67773437,641.11328125,1224.12109375
0.02003776,0,1.88999999,1.15874994,225.00000000,0.00000000,70350,52.73437500,646.48437500,1233.39843750
0.02106137,0,1.98000002,1.27124989,225.00000000,0.00000000,24888,44.67773437,641.11328125,1223.14453125
0.02206434,0,2.06999993,1.37249994,225.00000000,0.00000000,24922,44.67773437,641.11328125,1223.63281250
0.02302176,0,2.16000009,1.47375000,225.00000000,0.00000000,49653,44.92187500,641.35742187,1224.60937500
0.02406204,0,2.25000000,1.66499996,225.00000000,0.00000000,26025,48.33984375,643.55468750,1229.98046875
0.02503278,0,2.34000015,1.78874993,225.00000000,0.00000000,70827,44.92187500,641.11328125,1223.63281250
0.02605670,0,2.43000007,1.90124989,225.00000000,0.00000000,24465,44.67773437,641.35742187,1223.63281250
0.02703410,0,2.51999998,1.99124992,225.00000000,0.00000000,78798,52.73437500,646.48437500,1233.39843750
