time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt202,pt203,ptf401
0.00109080,0,36.07033157,35.85374832,12.00000095,12000.00000000,92450948965,134.52148437,699.21875000,1364.74609375
0.00205554,0,36.17862701,35.86499786,24.00000191,12000.00000000,479060,134.52148437,699.46289062,1365.23437500
0.00305553,0,36.28691864,35.88749695,36.00000381,12000.00097656,245602,120.36132812,692.87109375,1355.95703125
0.00402520,0,36.39521027,35.90999985,48.00000381,11999.99902344,162642,120.60546875,693.11523437,1356.44531250
0.00502887,0,36.50350189,35.93249893,60.00000381,11999.99902344,151728,134.76562500,699.21875000,1364.74609375
0.00603898,0,36.61179733,35.96624756,72.00000763,12000.00292969,139235,134.76562500,699.21875000,1364.74609375
0.00701578,0,36.72008896,36.03374863,84.00000763,11999.99902344,67000,130.37109375,697.50976562,1357.91015625
0.00805799,0,36.82838058,36.09000015,96.00000763,11999.99902344,103640,121.09375000,692.87109375,1356.44531250
0.00902882,0,36.93667221,36.13499832,108.00000763,11999.99902344,96673,121.09375000,692.87109375,1355.95703125
0.01003610,0,37.04496765,36.19124985,120.00000763,11999.99902344,86298,120.84960937,692.62695312,1355.95703125
0.01104228,0,37.15325928,36.24749756,132.00001526,12000.00683594,83312,134.52148437,698.97460937,1364.74609375
0.01203413,0,37.26155090,36.31499863,144.00001526,11999.99902344,62820,134.52148437,699.21875000,1364.74609375
0.01302750,0,37.36984253,36.39374924,156.00001526,11999.99902344,56920,121.09375000,692.87109375,1355.95703125
0.01405129,0,37.47813416,36.52874756,168.00001526,11999.99902344,33930,130.12695312,696.77734375,1359.86328125
0.01552945,0,37.58642960,36.69749832,180.00001526,11999.99902344,34987,120.60546875,692.87109375,1355.95703125
0.01606661,0,37.69472122,36.77624893,192.00001526,11999.99902344,29913,131.59179687,694.82421875,1359.86328125
0.01704797,0,37.80301285,36.87749863,204.00001526,11999.99902344,29767,120.84960937,692.87109375,1355.95703125
0.01804388,0,37.91130447,36.97874832,216.00001526,11999.99902344,27833,120.84960937,693.35937500,1356.44531250
0.01905540,0,38.01959991,37.07999802,225.00000000,8999.98437500,26775,120.84960937,692.87109375,1356.44531250
0.02004946,0,38.12789154,37.18124771,225.00000000,0.00000000,93225,120.84960937,692.87109375,1356.44531250
0.02102937,0,38.23618317,37.28249741,225.00000000,0.00000000,72803,121.09375000,692.87109375,1355.95703125
0.02203031,0,38.34447479,37.38374710,225.00000000,0.00000000,73003,134.52148437,699.46289062,1364.74609375
0.02305735,0,38.45277023,37.49625015,225.00000000,0.00000000,24902,134.76562500,699.21875000,1364.74609375
0.02406835,0,38.56106186,37.68750000,225.00000000,0.00000000,32105,131.34765625,695.55664062,1360.35156250
0.02505693,0,38.66935349,37.81124878,225.00000000,0.00000000,24860,134.52148437,698.97460937,1364.74609375
0.02602621,0,38.77764511,37.91249847,225.00000000,0.00000000,56743,134.76562500,699.21875000,1365.23437500
0.02703297,0,38.88593674,38.02499771,225.00000000,0.00000000,79052,121.09375000,692.62695312,1355.95703125
0.02812641,0,38.99423218,38.14874649,225.00000000,0.00000000,24958,121.09375000,692.13867187,1355.46875000
0.02984188,0,39.10252380,38.48624802,225.00000000,0.00000000,24707,124.02343750,694.58007812,1360.83984375
0.03034970,0,39.21081543,38.49749756,225.00000000,0.00000000,24953,134.52148437,698.97460937,1364.25781250
0.03104511,0,39.31910706,38.53125000,225.00000000,0.00000000,86062,134.76562500,698.97460937,1364.25781250
0.03204245,0,39.42740250,38.64374924,225.00000000,0.00000000,23375,120.84960937,692.87109375,1355.46875000
0.03302545,0,39.53569412,38.74499893,225.00000000,0.00000000,59345,121.82617187,692.13867187,1355.95703125
0.03404078,0,39.64398575,38.85749817,225.00000000,0.00000000,72432,121.09375000,692.87109375,1355.46875000
0.03507997,0,39.75227737,38.96999741,225.00000000,0.00000000,24970,120.84960937,692.62695312,1355.95703125
0.03606359,0,39.86057281,39.07124710,225.00000000,0.00000000,24903,120.84960937,692.38281250,1355.95703125
0.03704515,0,39.96886444,39.16124725,225.00000000,0.00000000,77120,134.76562500,699.21875000,1364.74609375
0.03803733,0,40.07715607,39.26249695,225.00000000,0.00000000,80493,134.76562500,699.21875000,1364.74609375
0.03903707,0,40.18544769,39.36374664,225.00000000,0.00000000,76880,134.52148437,699.21875000,1364.74609375
0.04002920,0,40.29373932,39.46500015,225.00000000,0.00000000,74090,134.52148437,698.97460937,1364.25781250
0.04103336,0,40.40203476,39.56624985,225.00000000,0.00000000,71480,134.76562500,699.21875000,1365.23437500
0.04205866,0,40.51032639,39.76874924,225.00000000,0.00000000,46867,130.12695312,696.77734375,1361.32812500
0.04347973,0,40.61861801,40.04999924,225.00000000,0.00000000,23782,130.85937500,694.09179687,1359.86328125
0.04404877,0,40.72690964,40.15124893,225.00000000,0.00000000,29058,131.83593750,694.58007812,1360.83984375
0.04503870,0,40.83520508,40.26374817,225.00000000,0.00000000,72312,134.76562500,699.21875000,1365.23437500
0.04602823,0,40.94349670,40.36499786,225.00000000,0.00000000,58105,134.52148437,698.97460937,1364.25781250
0.04702538,0,41.05178833,40.47749710,225.00000000,0.00000000,64718,120.84960937,691.89453125,1355.46875000
0.04806765,0,41.16007996,40.59000015,225.00000000,0.00000000,24977,134.76562500,698.97460937,1364.25781250
0.04906958,0,41.26837540,40.70249939,225.00000000,0.00000000,24978,134.52148437,698.97460937,1364.74609375
0.05005910,0,41.37666702,40.80374908,225.00000000,0.00000000,24390,134.76562500,698.97460937,1364.74609375
0.05101456,0,41.48495865,40.90499878,225.00000000,0.00000000,64967,120.84960937,692.62695312,1355.95703125
0.05203235,0,41.59325027,41.00624847,225.00000000,0.00000000,81007,121.09375000,692.38281250,1355.95703125
0.05304894,0,41.70154190,41.10749817,225.00000000,0.00000000,91398,135.25390625,699.21875000,1365.23437500
0.05403180,0,41.80983734,41.20874786,225.00000000,0.00000000,71402,121.09375000,692.38281250,1355.95703125
0.05505489,0,41.91812897,41.30999756,225.00000000,0.00000000,24632,134.76562500,699.21875000,1364.74609375
0.05612713,0,42.02642059,41.43374634,225.00000000,0.00000000,24952,121.09375000,693.11523437,1355.46875000
0.05767857,0,42.13471222,41.72624969,225.00000000,0.00000000,24952,131.34765625,695.06835937,1362.79296875
0.05815244,0,42.24300766,41.73749924,225.00000000,0.00000000,26647,135.00976562,699.21875000,1364.74609375
0.05902056,0,42.35129929,41.81624985,225.00000000,0.00000000,49187,134.76562500,699.21875000,1364.74609375
0.06003601,0,42.45959091,41.92874908,225.00000000,0.00000000,80338,121.09375000,693.11523437,1356.44531250
0.06103142,0,42.56788254,42.02999878,225.00000000,0.00000000,71665,134.52148437,699.21875000,1364.74609375
0.06203137,0,42.67617798,42.13124847,225.00000000,0.00000000,72828,134.76562500,698.97460937,1364.74609375
0.06304600,0,42.78446960,42.24374771,225.00000000,0.00000000,25025,134.52148437,699.21875000,1364.25781250
0.06403791,0,42.89276123,42.34499741,225.00000000,0.00000000,77025,134.52148437,699.21875000,1364.74609375
0.06501620,0,43.00105286,42.45749664,225.00000000,0.00000000,46572,120.84960937,692.62695312,1356.44531250
0.06600980,0,43.10934448,42.55874634,225.00000000,0.00000000,56282,134.52148437,699.21875000,1364.74609375
0.06705366,0,43.21763992,42.67124939,225.00000000,0.00000000,24757,134.52148437,698.97460937,1364.25781250
0.06802762,0,43.32593155,42.77249908,225.00000000,0.00000000,77680,120.60546875,692.62695312,1355.46875000
0.06906585,0,43.43422318,42.88499832,225.00000000,0.00000000,24977,134.52148437,699.21875000,1364.74609375
0.07006760,0,43.54251480,43.07624817,225.00000000,0.00000000,32327,129.63867187,697.02148437,1360.35156250
0.07168128,0,43.65080643,43.40249634,225.00000000,0.00000000,23527,132.81250000,695.06835937,1358.88671875
0.07229243,0,43.75910187,43.42499924,225.00000000,0.00000000,29042,135.00976562,699.21875000,1365.23437500
0.07307155,0,43.86739349,43.57124710,225.00000000,0.00000000,25532,129.15039062,695.80078125,1360.83984375
0.07405727,0,43.97568512,43.69499969,225.00000000,0.00000000,24957,120.84960937,692.87109375,1355.95703125
0.07504400,0,44.08397675,43.79624939,225.00000000,0.00000000,23243,134.52148437,699.21875000,1365.23437500
0.07603944,0,44.19227219,43.90874863,225.00000000,0.00000000,24953,120.84960937,692.62695312,1355.95703125
0.07705367,0,44.30056381,44.00999832,225.00000000,0.00000000,23218,134.52148437,699.21875000,1365.23437500
0.07806002,0,44.40885544,44.12249756,225.00000000,0.00000000,24917,121.09375000,692.38281250,1355.95703125
0.07902911,0,44.51714706,44.22374725,225.00000000,0.00000000,65888,121.09375000,692.62695312,1356.44531250
0.08004940,0,44.62544250,44.33624649,225.00000000,0.00000000,24118,121.09375000,693.11523437,1356.44531250
0.08103558,0,44.73373413,44.43749619,225.00000000,0.00000000,81727,120.84960937,692.87109375,1355.95703125
0.08204575,0,44.84202576,44.54999924,225.00000000,0.00000000,24215,120.84960937,692.87109375,1355.95703125
0.08301709,0,44.95031738,44.65124893,225.00000000,0.00000000,58042,121.09375000,692.87109375,1355.95703125
0.08406900,0,45.05861282,44.85374832,225.00000000,0.00000000,33800,130.12695312,696.53320312,1359.37500000
0.08566408,0,45.16690445,45.15749741,213.00000000,-11999.99902344,26703,130.61523437,696.28906250,1359.37500000
0.08611935,0,45.27519608,45.16874695,201.00000000,-11999.99902344,26820,120.84960937,693.35937500,1355.95703125
0.08704498,0,45.38348770,45.24749756,189.00000000,-11999.99902344,27920,134.76562500,699.21875000,1364.74609375
0.08803466,0,45.49178314,45.33749771,177.00000000,-11999.99902344,80185,121.33789062,692.87109375,1356.44531250
0.08907297,0,45.60007477,45.42749786,172.57688904,-4423.11083984,40403,121.09375000,692.87109375,1355.95703125
0.09003133,0,45.70836639,45.49499893,184.57688904,11999.99902344,89365,134.76562500,699.21875000,1364.74609375
0.09102585,0,45.81665802,45.58499908,196.57688904,11999.99902344,62105,134.76562500,699.21875000,1364.74609375
0.09205936,0,45.92494965,45.68624878,208.57688904,11999.99902344,28972,134.76562500,699.21875000,1364.74609375
0.09303608,0,46.03324509,45.78749847,220.57688904,11999.99902344,69577,121.33789062,692.87109375,1355.95703125
0.09402996,0,46.14153671,45.88874817,225.00000000,4423.11083984,68298,121.09375000,692.62695312,1355.95703125
0.09502960,0,46.24982834,45.98999786,225.00000000,0.00000000,55073,134.76562500,698.97460937,1364.25781250
0.09602543,0,46.35811996,46.10249710,225.00000000,0.00000000,56473,121.09375000,692.62695312,1355.95703125
0.09702867,0,46.46641159,46.20374680,225.00000000,0.00000000,73210,134.76562500,699.21875000,1364.74609375
0.09809221,0,46.57470703,46.40624619,225.00000000,0.00000000,22880,129.88281250,695.31250000,1359.86328125
0.09967349,0,46.68299866,46.64249802,213.00000000,-11999.99902344,24948,120.84960937,692.62695312,1355.95703125
0.10010047,0,46.79129028,46.64249802,201.00000000,-11999.99902344,24948,120.84960937,692.87109375,1355.95703125
0.10104536,0,46.89958191,46.72124863,189.00000000,-11999.99902344,27863,134.76562500,698.97460937,1364.74609375
0.10202985,0,47.00787735,46.81124878,196.62855530,7628.55517578,75917,121.33789062,692.87109375,1355.95703125
0.10305736,0,47.11616898,46.91249847,203.67048645,7041.93066406,29060,120.84960937,692.87109375,1356.44531250
0.10403114,0,47.22446060,47.00249863,215.67048645,11999.99902344,77203,121.09375000,692.62695312,1356.44531250
0.10504749,0,47.33275223,47.10374832,225.00000000,9329.51269531,26752,121.09375000,692.62695312,1356.44531250
0.10603447,0,47.44104767,47.29499817,225.00000000,0.00000000,27205,130.61523437,696.77734375,1360.83984375
0.10703609,0,47.54933929,47.41874695,213.00000000,-11999.99902344,77178,121.09375000,692.62695312,1355.95703125
0.10804920,0,47.65763092,47.51999664,201.00000000,-11999.99902344,26777,134.76562500,699.21875000,1365.23437500
0.10904184,0,47.76592255,47.60999680,189.00000000,-11999.99902344,74687,134.76562500,699.21875000,1365.23437500
0.11001398,0,47.87421799,47.69999695,177.00000000,-11999.99902344,56387,121.09375000,692.38281250,1356.44531250
